"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Premier League","M","ENG",2020,"vs Bournemouth","opponent",27,38,65,552,186,33.7,14.53,4.89,0.11,0.32,17.9,16,5,6,62.3,57.6,0.11,2.7,2.4
"Premier League","M","ENG",2020,"vs Brighton","opponent",25,38,52,496,166,33.5,13.05,4.37,0.1,0.3,16.3,20,2,2,55,53.4,0.11,-3,-3.4
"Premier League","M","ENG",2020,"vs Burnley","opponent",22,38,49,534,162,30.3,14.05,4.26,0.08,0.28,18.3,22,4,5,49.8,45.8,0.09,-0.8,-0.8
"Premier League","M","ENG",2020,"vs Chelsea","opponent",27,38,51,320,113,35.3,8.42,2.97,0.15,0.43,16.5,15,2,2,38.6,37,0.12,12.4,12
"Premier League","M","ENG",2020,"vs Crystal Palace","opponent",25,38,48,511,172,33.7,13.45,4.53,0.09,0.28,17.1,25,0,1,57,56.2,0.11,-9,-8.2
"Premier League","M","ENG",2020,"vs Everton","opponent",24,38,53,423,144,34,11.13,3.79,0.12,0.35,17.1,23,3,4,48.3,45.2,0.11,4.7,4.8
"Premier League","M","ENG",2020,"vs Leicester City","opponent",24,38,39,368,125,34,9.68,3.29,0.08,0.25,17.5,21,8,10,45.5,37.7,0.1,-6.5,-6.7
"Premier League","M","ENG",2020,"vs Liverpool","opponent",24,38,32,340,106,31.2,8.95,2.79,0.09,0.29,17.2,5,1,1,37.7,36.9,0.11,-5.7,-5.9
"Premier League","M","ENG",2020,"vs Manchester City","opponent",24,38,34,277,107,38.6,7.29,2.82,0.11,0.29,16.6,18,3,3,36.2,34.6,0.13,-2.2,-3.6
"Premier League","M","ENG",2020,"vs Manchester Utd","opponent",29,38,35,387,128,33.1,10.18,3.37,0.08,0.25,17.8,23,3,3,37.7,35.3,0.09,-2.7,-3.3
"Premier League","M","ENG",2020,"vs Newcastle Utd","opponent",28,38,56,564,193,34.2,14.84,5.08,0.1,0.28,16.5,20,2,2,65.6,64,0.12,-9.6,-10
"Premier League","M","ENG",2020,"vs Norwich City","opponent",30,38,72,600,203,33.8,15.79,5.34,0.11,0.33,16.6,19,4,7,66.5,60.9,0.1,5.5,7.1
"Premier League","M","ENG",2020,"vs Sheffield Utd","opponent",26,38,39,428,137,32,11.26,3.61,0.09,0.28,17.6,24,1,3,51,48.6,0.12,-12,-10.6
"Premier League","M","ENG",2020,"vs Southampton","opponent",25,38,59,448,164,36.6,11.79,4.32,0.13,0.34,16.6,13,3,4,52.8,49.6,0.11,6.2,6.4
"Premier League","M","ENG",2020,"vs Tottenham","opponent",29,38,45,532,174,32.7,14,4.58,0.08,0.23,17.5,23,5,7,54.2,49.1,0.09,-9.2,-9.1
"Premier League","M","ENG",2020,"vs Watford","opponent",26,38,61,487,169,34.7,12.82,4.45,0.11,0.31,17.9,28,8,9,58.1,51.2,0.11,2.9,1.8
"Premier League","M","ENG",2020,"vs West Ham","opponent",29,38,59,495,181,36.6,13.03,4.76,0.11,0.3,16.4,13,5,6,63.8,59.1,0.12,-4.8,-5.1
"Premier League","M","ENG",2020,"vs Wolves","opponent",21,38,39,396,126,31.8,10.42,3.32,0.1,0.3,17.3,12,1,3,38,35.5,0.09,1,2.5
"Premier League","M","ENG",2021,"Arsenal","team",29,38,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.7,47,0.11,1.3,0
"Premier League","M","ENG",2021,"Aston Villa","team",24,38,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9
"Premier League","M","ENG",2021,"Brighton","team",27,38,39,478,134,28,12.58,3.53,0.07,0.25,17.4,15,6,9,50.9,43.8,0.09,-11.9,-10.8
"Premier League","M","ENG",2021,"Burnley","team",25,38,32,381,124,32.5,10.03,3.26,0.08,0.23,17.4,15,3,3,39.3,36.9,0.1,-7.3,-7.9
"Premier League","M","ENG",2021,"Chelsea","team",27,38,56,546,193,35.3,14.37,5.08,0.09,0.25,17.1,16,8,10,62.4,54.5,0.1,-6.4,-6.5
"Premier League","M","ENG",2021,"Crystal Palace","team",24,38,39,345,127,36.8,9.08,3.34,0.1,0.28,17.6,18,3,4,34.1,31,0.09,4.9,5
"Premier League","M","ENG",2021,"Everton","team",29,38,45,395,143,36.2,10.39,3.76,0.1,0.29,17.2,15,4,5,45.7,41.9,0.11,-0.7,-0.9
"Premier League","M","ENG",2021,"Fulham","team",28,38,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9
"Premier League","M","ENG",2021,"Leeds United","team",23,38,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5
"Premier League","M","ENG",2021,"Leicester City","team",27,38,64,473,170,35.9,12.45,4.47,0.11,0.32,18.6,20,10,12,55.8,46.3,0.1,8.2,7.7
"Premier League","M","ENG",2021,"Liverpool","team",28,38,65,602,204,33.9,15.84,5.37,0.1,0.29,17.1,22,6,6,67.5,62.9,0.11,-2.5,-3.9
"Premier League","M","ENG",2021,"Manchester City","team",24,38,82,590,211,35.8,15.53,5.55,0.13,0.36,17.2,21,5,9,68.2,61.2,0.11,13.8,15.8
"Premier League","M","ENG",2021,"Manchester Utd","team",29,38,70,515,196,38.1,13.55,5.16,0.12,0.31,18.1,21,10,11,60.1,51.4,0.1,9.9,8.6
"Premier League","M","ENG",2021,"Newcastle Utd","team",27,38,44,390,130,33.3,10.26,3.42,0.1,0.29,18.3,25,6,7,43.4,37.8,0.1,0.6,0.2
"Premier League","M","ENG",2021,"Sheffield Utd","team",27,38,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5
"Premier League","M","ENG",2021,"Southampton","team",29,38,47,418,157,37.6,11,4.13,0.1,0.27,18.6,20,5,6,41.2,36.6,0.09,5.8,5.4
"Premier League","M","ENG",2021,"Tottenham","team",24,38,66,438,167,38.1,11.53,4.39,0.14,0.37,18,35,5,5,53.1,49.2,0.12,12.9,11.8
"Premier League","M","ENG",2021,"West Brom","team",30,38,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7
"Premier League","M","ENG",2021,"West Ham","team",24,38,60,464,158,34.1,12.21,4.16,0.13,0.37,16.1,17,2,4,55.4,52.1,0.12,4.6,5.9
"Premier League","M","ENG",2021,"Wolves","team",27,38,34,459,149,32.5,12.08,3.92,0.07,0.2,18.5,18,4,4,36.5,33.4,0.08,-2.5,-3.4
"Premier League","M","ENG",2021,"vs Arsenal","opponent",29,38,35,412,126,30.6,10.84,3.32,0.08,0.26,17.8,12,2,3,43,40.6,0.1,-8,-7.6
"Premier League","M","ENG",2021,"vs Aston Villa","opponent",24,38,45,532,180,33.8,14,4.74,0.08,0.22,18.1,27,5,6,51.1,46.4,0.09,-6.1,-6.4
"Premier League","M","ENG",2021,"vs Brighton","opponent",27,38,44,351,119,33.9,9.24,3.13,0.11,0.32,18.6,10,6,7,35.3,29.8,0.09,8.7,8.2
"Premier League","M","ENG",2021,"vs Burnley","opponent",25,38,54,567,176,31,14.92,4.63,0.09,0.29,17.4,13,3,3,54.7,52.3,0.09,-0.7,-1.3
"Premier League","M","ENG",2021,"vs Chelsea","opponent",27,38,35,332,103,31,8.74,2.71,0.1,0.31,19.3,15,3,4,30.3,27.1,0.08,4.7,4.9
"Premier League","M","ENG",2021,"vs Crystal Palace","opponent",24,38,66,535,170,31.8,14.08,4.47,0.12,0.37,16.7,29,3,4,58.2,55.1,0.11,7.8,7.9
"Premier League","M","ENG",2021,"vs Everton","opponent",29,38,47,501,158,31.5,13.18,4.16,0.09,0.28,18,23,3,4,50.1,46.9,0.1,-3.1,-2.9
"Premier League","M","ENG",2021,"vs Fulham","opponent",28,38,52,421,163,38.7,11.08,4.29,0.11,0.28,17,27,7,7,52.6,47.2,0.12,-0.6,-2.2
"Premier League","M","ENG",2021,"vs Leeds United","opponent",23,38,52,549,189,34.4,14.45,4.97,0.08,0.23,18,20,8,9,57.9,50.7,0.09,-5.9,-6.7
"Premier League","M","ENG",2021,"vs Leicester City","opponent",27,38,48,366,132,36.1,9.63,3.47,0.12,0.33,16.1,17,4,4,46,42.9,0.12,2,1.1
"Premier League","M","ENG",2021,"vs Liverpool","opponent",28,38,42,324,135,41.7,8.53,3.55,0.12,0.28,17.4,12,4,8,43,36.9,0.12,-1,1.1
"Premier League","M","ENG",2021,"vs Manchester City","opponent",24,38,31,273,90,33,7.18,2.37,0.08,0.26,18.6,15,8,10,30.2,22.3,0.08,0.8,0.7
